,group_id,category_id,category.name,category.shortname,city,country,link,group_name,events
9691,19946391,9,fitness,fitness,New York,US,https://www.meetup.com/blockhouserunclub/,Blockhouse Run Club,[]
9692,19946517,11,games,games,Chicago,US,https://www.meetup.com/Lincoln-Square-Dungeons-Dragons-Meetup/,Lincoln Square Dungeons & Dragons Meetup,[]
9693,19948438,2,career/business,career-business,Chicago,US,https://www.meetup.com/Chicago-HR-Mastermind/,Chicago HR Mastermind (Downtown Chapter),[]
9694,19948522,21,music,music,Chicago,US,https://www.meetup.com/Live-Music-and-Arts-in-Chicago-LMAC/,Live Music and Arts in Chicago (L'MAC),[]
9695,19948667,1,fine arts/culture,arts-culture,New York,US,https://www.meetup.com/PoC-Theatre-Geeks-in-New-York/,PoC Theatre Geeks in New York under 40,[]
9696,19949768,34,tech,tech,San Francisco,US,https://www.meetup.com/GraphQL-SF/,GraphQL San Francisco,[]
9697,19950009,14,health/wellbeing,health-wellbeing,San Francisco,US,https://www.meetup.com/Bay-Area-Kink-BDSM-Educational-Events-and-Classes/,Bay Area Kink & BDSM Educational Events and Classes,[]
9698,19950188,12,LGBT,lgbt,San Francisco,US,https://www.meetup.com/yosemitehikers/,San Francisco LGBT Meetup,[]
9699,19950410,12,LGBT,lgbt,New York,US,https://www.meetup.com/NYCLesbianEvents/,NYC Local Lesbian Community,[]
9700,19952071,17,alternative lifestyle,lifestyle,New York,US,https://www.meetup.com/New-York-Kinky-PoC-Theatre-Geeks/,New York Kinky PoC Theatre Geeks under 40,[]
9701,19953199,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/Shamanic-Qigong/,Shamanistic Qigong,[]
9702,19953303,36,writing,writing,Chicago,US,https://www.meetup.com/Lincoln-Park-Writers-Block-Meetup/,Lincoln Park Writer's Block Meetup,[]
9703,19954170,11,games,games,San Francisco,US,https://www.meetup.com/San-Francisco-Scrabble-Enthusiasts/,San Francisco Scrabble Enthusiasts,[]
9704,19955133,14,health/wellbeing,health-wellbeing,Chicago,US,https://www.meetup.com/Living-Naturally-in-Chicagoland/,Living Naturally in Chicagoland,[]
9705,19955139,34,tech,tech,Chicago,US,https://www.meetup.com/Chicago-Tech/,Chicago Tech,[]
9706,19955329,4,community/environment,community-environment,San Francisco,US,https://www.meetup.com/Zero-Waste-Show-Tell-Meetup-Bay-Area/,Zero Waste Show & Tell Meetup Bay Area,[]
9707,19956899,16,language/ethnic identity,language,San Francisco,US,https://www.meetup.com/Travel-to-Japan-Concierge-in-San-Francisco/,Travel to Japan Concierge in San Francisco,[]
9708,19957657,25,parents/family,parents-family,New York,US,https://www.meetup.com/Not-your-average-stay-at-home-Mom/,Not your average stay at home Mom,[]
9709,19957767,1,fine arts/culture,arts-culture,New York,US,https://www.meetup.com/AAPROWIP/,Actors Aiding Playwrights: Readings of Works In Progress,[]
9710,19959824,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/T-R-U-Movmnt/,T.R.U. MOVMNT,[]
9711,19960106,9,fitness,fitness,New York,US,https://www.meetup.com/HashNYC/,NYC Hash House Harriers,[]
9712,19960193,34,tech,tech,Chicago,US,https://www.meetup.com/NerdTherapy/,Nerd Therapy,[]
9713,19961027,34,tech,tech,San Francisco,US,https://www.meetup.com/VR-Arcade/,VR Arcade,[]
9714,19961914,12,LGBT,lgbt,San Francisco,US,https://www.meetup.com/Lesbian-Queer-Singles-Community-SF/,Lesbian/Queer Women Singles Community SF,[]
9715,19962009,23,outdoors/adventure,outdoors-adventure,New York,US,https://www.meetup.com/RealTravelChicksROCK/,{REAL} Travel Chicks ROCK! ,[]
9716,19964022,34,tech,tech,New York,US,https://www.meetup.com/NY-Algorithmic-Music-Meetup/,NY Algorithmic Music Meetup,[]
9717,19964121,2,career/business,career-business,New York,US,https://www.meetup.com/brooklynrealestatenetworking/,Brooklyn Real Estate and Opportunity Network,[]
9718,19964490,34,tech,tech,New York,US,https://www.meetup.com/SmashingConf/,Smashing Magazine,[]
9719,19964714,34,tech,tech,San Francisco,US,https://www.meetup.com/San-Francisco-Tech-and-Fashion-Blogging/,San Francisco Tech and Fashion Blogging,[]
9720,19964743,8,fashion/beauty,fashion-beauty,New York,US,https://www.meetup.com/NYC-Sunday-Sauce-with-Elline-Surianello/,NYC Sunday Sauce with Elline Surianello,[]
